"country";"variable";"percentile";"year";"value";"age";"pop"
"IT";"tptincj992";"p0p13";2014;"8.4";992;"j"
"IT";"tptincj992";"p0p13";2015;"8.6";992;"j"
"IT";"tptincj992";"p0p13";2016;"22.1";992;"j"
"IT";"tptincj992";"p0p13";2017;"28.4";992;"j"
"IT";"tptincj992";"p0p13";2018;"18.4";992;"j"
"IT";"tptincj992";"p0p13";2019;"19";992;"j"
"IT";"tptincj992";"p0p13";2020;"19.4";992;"j"
"IT";"tptincj992";"p0p13";2021;"21.2";992;"j"
"IT";"tptincj992";"p0p13";2022;"21.9";992;"j"
"IT";"tptincj992";"p0p13";2023;"22.1";992;"j"
"IT";"tptincj992";"p0p14";1820;"94.7";992;"j"
"IT";"tptincj992";"p0p14";1850;"88.30000000000001";992;"j"
"IT";"tptincj992";"p0p14";1880;"108.4";992;"j"
"IT";"tptincj992";"p0p14";1900;"112.7";992;"j"
"IT";"tptincj992";"p0p14";1910;"121.1";992;"j"
"IT";"tptincj992";"p0p14";1920;"101";992;"j"
"IT";"tptincj992";"p0p14";1930;"95.60000000000001";992;"j"
"IT";"tptincj992";"p0p14";1940;"110";992;"j"
"IT";"tptincj992";"p0p14";1950;"168.1";992;"j"
"IT";"tptincj992";"p0p14";1960;"298.9";992;"j"
"IT";"tptincj992";"p0p14";1970;"499.4";992;"j"
"IT";"tptincj992";"p0p14";1980;"111.2";992;"j"
"IT";"tptincj992";"p0p14";1981;"116";992;"j"
"IT";"tptincj992";"p0p14";1982;"114.4";992;"j"
"IT";"tptincj992";"p0p14";1983;"120.5";992;"j"
"IT";"tptincj992";"p0p14";1984;"124.4";992;"j"
"IT";"tptincj992";"p0p14";1985;"130.4";992;"j"
"IT";"tptincj992";"p0p14";1986;"138.5";992;"j"
"IT";"tptincj992";"p0p14";1987;"79";992;"j"
"IT";"tptincj992";"p0p14";1988;"85.5";992;"j"
"IT";"tptincj992";"p0p14";1989;"91.9";992;"j"
"IT";"tptincj992";"p0p14";1990;"61.1";992;"j"
"IT";"tptincj992";"p0p14";1991;"83.30000000000001";992;"j"
"IT";"tptincj992";"p0p14";1992;"52";992;"j"
"IT";"tptincj992";"p0p14";1993;"62.7";992;"j"
"IT";"tptincj992";"p0p14";1994;"31.9";992;"j"
"IT";"tptincj992";"p0p14";1995;"30";992;"j"
"IT";"tptincj992";"p0p14";1996;"21.6";992;"j"
"IT";"tptincj992";"p0p14";1997;"31.2";992;"j"
"IT";"tptincj992";"p0p14";1998;"18.2";992;"j"
"IT";"tptincj992";"p0p14";1999;"25.5";992;"j"
"IT";"tptincj992";"p0p14";2000;"24.7";992;"j"
"IT";"tptincj992";"p0p14";2001;"21.5";992;"j"
"IT";"tptincj992";"p0p14";2002;"24.4";992;"j"
"IT";"tptincj992";"p0p14";2003;"18.2";992;"j"
"IT";"tptincj992";"p0p14";2004;"0.3";992;"j"
"IT";"tptincj992";"p0p14";2005;"28";992;"j"
"IT";"tptincj992";"p0p14";2006;"29";992;"j"
"IT";"tptincj992";"p0p14";2007;"49.5";992;"j"
"IT";"tptincj992";"p0p14";2008;"36.9";992;"j"
"IT";"tptincj992";"p0p14";2009;"31.9";992;"j"
"IT";"tptincj992";"p0p14";2010;"26.7";992;"j"
"IT";"tptincj992";"p0p14";2011;"25.1";992;"j"
"IT";"tptincj992";"p0p14";2012;"23.1";992;"j"
"IT";"tptincj992";"p0p14";2013;"19.9";992;"j"
"IT";"tptincj992";"p0p14";2014;"15.4";992;"j"
"IT";"tptincj992";"p0p14";2015;"15.8";992;"j"
"IT";"tptincj992";"p0p14";2016;"35.7";992;"j"
"IT";"tptincj992";"p0p14";2017;"44.6";992;"j"
"IT";"tptincj992";"p0p14";2018;"30.5";992;"j"
"IT";"tptincj992";"p0p14";2019;"31.4";992;"j"
"IT";"tptincj992";"p0p14";2020;"31.5";992;"j"
"IT";"tptincj992";"p0p14";2021;"34.4";992;"j"
"IT";"tptincj992";"p0p14";2022;"35.7";992;"j"
"IT";"tptincj992";"p0p14";2023;"36";992;"j"
"IT";"tptincj992";"p0p15";1820;"103.2";992;"j"
"IT";"tptincj992";"p0p15";1850;"96.2";992;"j"
"IT";"tptincj992";"p0p15";1880;"117.7";992;"j"
"IT";"tptincj992";"p0p15";1900;"123.5";992;"j"
"IT";"tptincj992";"p0p15";1910;"133.7";992;"j"
"IT";"tptincj992";"p0p15";1920;"113.8";992;"j"
"IT";"tptincj992";"p0p15";1930;"109.2";992;"j"
"IT";"tptincj992";"p0p15";1940;"123.6";992;"j"
"IT";"tptincj992";"p0p15";1950;"191.9";992;"j"
"IT";"tptincj992";"p0p15";1960;"339.2";992;"j"
"IT";"tptincj992";"p0p15";1970;"571";992;"j"
